Ticker,Daily Return,Beta,Annual Volatility,Agglomerative Cluster,KMeans Cluster,KMeans Cluster Label
KO,0.00023339747334968154,0.38923498551569286,0.15619303257803197,0,0,Defensive / Lower Risk
KR,0.0006211918583385983,0.3126631957598645,0.2578169301231254,0,0,Defensive / Lower Risk
L,0.0005926204230245079,0.6621485411510324,0.196085762095371,0,0,Defensive / Lower Risk
LDOS,0.0008057978871452824,0.4969950858254097,0.2539366035741581,0,0,Defensive / Lower Risk
LEN,0.0005618612276848501,1.1910336415251843,0.34676313305806894,1,2,Balanced / Moderate Risk
LH,7.906219660142074e-06,0.6543346868898204,0.23450289513518402,0,0,Defensive / Lower Risk
LHX,0.00019526264587925386,0.4176654732843666,0.24513604613021642,0,0,Defensive / Lower Risk
LII,0.001123146838136114,1.1382703509561827,0.3101588741682323,0,0,Defensive / Lower Risk
LIN,0.0004343808288116526,0.8144510254266829,0.22189710496675594,0,0,Defensive / Lower Risk
LITE,0.00014127120785032663,1.4595056958650097,0.4813657917007286,1,2,Balanced / Moderate Risk
LLY,0.0015915338092775217,0.5756951670694958,0.28785580111236586,0,0,Defensive / Lower Risk
LMT,0.0006110293759612758,0.24386456314532015,0.20952978891943783,0,0,Defensive / Lower Risk
LNT,0.0001831528508248572,0.4404225879463296,0.20956314090696576,0,0,Defensive / Lower Risk
LOW,0.00017331816529479618,0.9540108464940583,0.26788947847426964,0,0,Defensive / Lower Risk
LRCX,0.00044679386004541977,1.845584764174769,0.45122958242919825,1,1,Aggressive / Higher Risk
